keys,pt,en
finale-event_on-time,"Você se atrasou tanto que perdeu o lançamento, foi demitido.","You are so late that you missed the launch, you were fired…"
finale-event_backpack_pickup,"Você esqueceu sua mochila, ela tinha sua credencial, você não conseguiu entrar no trabalho e foi demitido, o estresse de estar desempregado te causou a explodir","You forgot your backpack, it had your credentials, you couldn’t get into work and was fired… The stress from being unemployed has made you explode and take the world with you"
finale-event_glasses_pickup,"Você esqueceu seu óculos em casa, manobrou o foguete errado e o fez cair em uma base militar secreta com ogivas nucleares, o mundo explodiu","You forgot your glasses at home, did a bad maneuver with the rocket and made it land on a secret militar base with nuclear warheads, the world has exploded."
finale-event_oven_off,Você deixou o forno ligado. O mundo pegou fogo.,You’ve left the oven on… The world has caught on fire…
finale-event_clothes,"Você não tirou suas roupas da maquina, elas mofaram tanto que iniciaram um apocalipse zumbi de fungos",You have not taken your clothes out of the washing machine… They have accumulated so much mold that they have started a fungus zombie apocalypse
finale-event_cat,"Você não fez carinho no seu gato antes de sair de casa, ele fugiu de casa se sentindo não amado e comeu um rato radioativo na rua, se tornando um kaiju e destruindo a terra…","You didn’t pet your cat before leaving your home, it ran away feeling unloved and ate a radioactive rat in the street… It  became a kaiju and destroyed earth…"
finale-event_house-door,"Você não trancou a porta de casa, um ladrão entrou e roubou todos os seus pertences, no seu notebook havia sua fanfic ultra secreta, que ele compartilhou na internet, ela era tão ruim que fez a cabeça de todo mundo que leu explodir","You didn’t lock your home’s door before leaving… A robber entered and stole all of your belongings… In your laptop there was your ultra secret fanfic that he shared on the internet… It was so bad that it made people’s heads explode after reading, ending the worlds population…"
finale-event_documents,"Você não escaneou os documentos do tratado de paz com os alienígenas, a terra será destruída em 20 dias úteis…",You didn’t scan the documents of the alien peace treaty… Earth will be destroyed in 20 business days…
finale-event_basement-door,Você não fechou seu porão com tábuas de madeira… a criatura sobrenatural que você tinha aprisionado lá saiu e destruiu a terra com poderes fora da sua compreensão,You didn’t close your basement properly with wooden planks… The supernatural creature you had summoned in your basement has broken free of its chains and destroyed the Earth with otherwordly powers…
finale-event_magnet,Você não desmontou seu super imã… ele puxou outro planeta que colidiu com a terra explodindo ambos,"You did not disassemble your super magnet device… It has pulled another planet into Earth’s orbit, making them collide…"
finale-event_mother,"Você não deu bom dia pra sua mãe no celular, ela jogou um chinelo tão forte que bateu na nave e entrou como um cometa na atmosfera terrestre dividindo o planeta no meio",You didn’t reply to your mother’s ‘good morning’ message on your phone… She threw her flip-flop so strongly that it hit you in space and re-entered Earth’s atmosphere with such power that it came down like a comet and divided the Earth in half…
